Date,Fajr Adhaan,Fajr Iqamah,Sunrise,Dhuhr Adhaan,Dhuhr Iqamah,Asr Adhaan,Asr Iqamah,Maghrib Adhaan,Maghrib Iqamah,Isha Adhaan,Isha Iqamah
01 May 2025,04:27 AM,05:00 AM,05:53 AM,12:52 PM,01:15 PM,05:48 PM,06:00 PM,07:52 PM,07:57 PM,09:18 PM,09:30 PM
02 May 2025,04:26 AM,05:00 AM,05:52 AM,12:52 PM,01:15 PM,05:49 PM,06:00 PM,07:53 PM,07:58 PM,09:20 PM,09:30 PM
03 May 2025,04:24 AM,05:00 AM,05:51 AM,12:52 PM,01:15 PM,05:50 PM,06:00 PM,07:54 PM,07:59 PM,09:21 PM,09:30 PM
04 May 2025,04:23 AM,05:00 AM,05:49 AM,12:52 PM,01:15 PM,05:50 PM,06:00 PM,07:55 PM,08:00 PM,09:22 PM,09:30 PM
05 May 2025,04:21 AM,05:00 AM,05:48 AM,12:52 PM,01:15 PM,05:51 PM,06:00 PM,07:57 PM,08:02 PM,09:24 PM,09:30 PM
06 May 2025,04:19 AM,05:00 AM,05:47 AM,12:52 PM,01:15 PM,05:51 PM,06:00 PM,07:58 PM,08:03 PM,09:25 PM,09:30 PM
07 May 2025,04:18 AM,05:00 AM,05:46 AM,12:52 PM,01:15 PM,05:52 PM,06:00 PM,07:59 PM,08:04 PM,09:27 PM,09:30 PM
08 May 2025,04:16 AM,05:00 AM,05:45 AM,12:52 PM,01:15 PM,05:53 PM,06:00 PM,08:00 PM,08:05 PM,09:28 PM,09:30 PM
09 May 2025,04:15 AM,05:00 AM,05:43 AM,12:52 PM,01:15 PM,05:53 PM,06:00 PM,08:01 PM,08:06 PM,09:30 PM,09:30 PM
10 May 2025,04:13 AM,05:00 AM,05:42 AM,12:52 PM,01:15 PM,05:54 PM,06:00 PM,08:02 PM,08:07 PM,09:31 PM,09:30 PM
11 May 2025,04:12 AM,05:00 AM,05:41 AM,12:52 PM,01:15 PM,05:54 PM,06:00 PM,08:03 PM,08:08 PM,09:32 PM,09:45 PM
12 May 2025,04:10 AM,05:00 AM,05:40 AM,12:52 PM,01:15 PM,05:55 PM,06:00 PM,08:04 PM,08:09 PM,09:34 PM,09:45 PM
13 May 2025,04:09 AM,05:00 AM,05:39 AM,12:52 PM,01:15 PM,05:55 PM,06:00 PM,08:05 PM,08:10 PM,09:35 PM,09:45 PM
14 May 2025,04:08 AM,05:00 AM,05:38 AM,12:52 PM,01:15 PM,05:56 PM,06:00 PM,08:06 PM,08:11 PM,09:37 PM,09:45 PM
15 May 2025,04:06 AM,05:00 AM,05:37 AM,12:52 PM,01:15 PM,05:56 PM,06:00 PM,08:07 PM,08:12 PM,09:38 PM,09:45 PM
16 May 2025,04:05 AM,05:00 AM,05:36 AM,12:52 PM,01:15 PM,05:57 PM,06:00 PM,08:08 PM,08:13 PM,09:39 PM,09:45 PM
17 May 2025,04:04 AM,05:00 AM,05:35 AM,12:52 PM,01:15 PM,05:58 PM,06:00 PM,08:09 PM,08:14 PM,09:41 PM,09:45 PM
18 May 2025,04:02 AM,05:00 AM,05:35 AM,12:52 PM,01:15 PM,05:58 PM,06:00 PM,08:09 PM,08:14 PM,09:42 PM,09:45 PM
19 May 2025,04:01 AM,05:00 AM,05:34 AM,12:52 PM,01:15 PM,05:59 PM,06:00 PM,08:10 PM,08:15 PM,09:43 PM,09:45 PM
20 May 2025,04:00 AM,05:00 AM,05:33 AM,12:52 PM,01:15 PM,05:59 PM,06:00 PM,08:11 PM,08:16 PM,09:45 PM,09:45 PM
21 May 2025,03:59 AM,05:00 AM,05:32 AM,12:52 PM,01:15 PM,06:00 PM,06:15 PM,08:12 PM,08:17 PM,09:46 PM,10:00 PM
22 May 2025,03:58 AM,05:00 AM,05:31 AM,12:52 PM,01:15 PM,06:00 PM,06:15 PM,08:13 PM,08:18 PM,09:47 PM,10:00 PM
23 May 2025,03:56 AM,05:00 AM,05:31 AM,12:52 PM,01:15 PM,06:01 PM,06:15 PM,08:14 PM,08:19 PM,09:48 PM,10:00 PM
24 May 2025,03:55 AM,05:00 AM,05:30 AM,12:52 PM,01:15 PM,06:01 PM,06:15 PM,08:15 PM,08:20 PM,09:50 PM,10:00 PM
25 May 2025,03:54 AM,05:00 AM,05:29 AM,12:52 PM,01:15 PM,06:02 PM,06:15 PM,08:16 PM,08:21 PM,09:51 PM,10:00 PM
26 May 2025,03:53 AM,05:00 AM,05:29 AM,12:52 PM,01:15 PM,06:02 PM,06:15 PM,08:17 PM,08:22 PM,09:52 PM,10:00 PM
27 May 2025,03:52 AM,05:00 AM,05:28 AM,12:53 PM,01:15 PM,06:03 PM,06:15 PM,08:17 PM,08:22 PM,09:53 PM,10:00 PM
28 May 2025,03:51 AM,05:00 AM,05:27 AM,12:53 PM,01:15 PM,06:03 PM,06:15 PM,08:18 PM,08:23 PM,09:55 PM,10:00 PM
29 May 2025,03:51 AM,05:00 AM,05:27 AM,12:53 PM,01:15 PM,06:04 PM,06:15 PM,08:19 PM,08:24 PM,09:56 PM,10:00 PM
30 May 2025,03:50 AM,05:00 AM,05:26 AM,12:53 PM,01:15 PM,06:04 PM,06:15 PM,08:20 PM,08:25 PM,09:57 PM,10:00 PM
31 May 2025,03:49 AM,05:00 AM,05:26 AM,12:53 PM,01:15 PM,06:05 PM,06:15 PM,08:21 PM,08:26 PM,09:58 PM,10:00 PM